210406.0,210866.0,211591.0,212048.0,212774.0,213971.0,214467.0,215579.0,216378.0,215579.0,214467.0,213971.0,212774.0,212048.0,211591.0,210866.0
225872.0,226821.5,227792.5,228535.5,229901.0,230114.5,232372.5,232902.5,232272.0,232902.5,232372.5,230114.5,229901.0,228535.5,227792.5,226821.5
205652.0,207283.0,208852.0,209292.5,209125.0,208619.5,208539.5,210460.0,211609.0,210460.0,208539.5,208619.5,209125.0,209292.5,208852.0,207283.0
221632.0,223399.5,225675.0,227268.5,226755.5,228664.0,229978.0,230408.0,230391.0,230408.0,229978.0,228664.0,226755.5,227268.5,225675.0,223399.5
204921.0,207536.0,209693.5,213341.0,214590.0,214283.5,212739.5,211062.5,210833.0,211062.5,212739.5,214283.5,214590.0,213341.0,209693.5,207536.0
211077.0,214910.0,217045.5,217754.0,219215.5,219116.5,217019.0,213699.0,213464.0,213699.0,217019.0,219116.5,219215.5,217754.0,217045.5,214910.0
229493.0,232113.5,233953.5,236294.5,239253.0,237482.0,237462.5,237040.5,235108.0,237040.5,237462.5,237482.0,239253.0,236294.5,233953.5,232113.5
217602.0,218205.0,218705.5,219090.5,218839.0,218629.0,217803.0,218810.0,218468.0,218810.0,217803.0,218629.0,218839.0,219090.5,218705.5,218205.0
226273.0,226821.0,227850.5,227380.0,229248.5,230980.0,232215.0,233318.0,233581.0,233318.0,232215.0,230980.0,229248.5,227380.0,227850.5,226821.0
195928.0,198330.5,199579.0,203220.0,206181.5,207798.5,210027.5,210102.0,210520.0,210102.0,210027.5,207798.5,206181.5,203220.0,199579.0,198330.5
204145.0,207034.0,208071.0,206634.0,208142.5,209825.5,208907.5,209255.0,211048.0,209255.0,208907.5,209825.5,208142.5,206634.0,208071.0,207034.0
238063.0,239739.5,242036.5,242554.5,243837.0,244189.5,243825.5,244548.5,244251.0,244548.5,243825.5,244189.5,243837.0,242554.5,242036.5,239739.5
223328.0,226192.5,227659.5,228305.5,228609.0,227786.0,225664.5,226387.0,226700.0,226387.0,225664.5,227786.0,228609.0,228305.5,227659.5,226192.5
214273.0,215961.0,217592.0,219071.0,219727.0,220701.0,221528.5,220647.0,220576.0,220647.0,221528.5,220701.0,219727.0,219071.0,217592.0,215961.0
