temp,burnin,iterations,observable
0.000015848,100000,100000000,3.4987449315829826
0.000019952,100000,100000000,3.4997261179963686
0.000025118,100000,100000000,3.5003548946040386
0.000031622,100000,100000000,3.500403457537321
0.00003981,100000,100000000,3.499296539003469
0.000050118,100000,100000000,3.500524213758239
0.000063095,100000,100000000,3.501121912922395
0.000079432,100000,100000000,3.50000155285067
0.0001,100000,100000000,3.501162835997121
0.00012589,100000,100000000,3.500074385395748
0.00015848,100000,100000000,3.4998205927781014
0.00019952,100000,100000000,3.500843945117293
0.00025118,100000,100000000,3.500683887546446
0.00031622,100000,100000000,3.500627537580944
0.0003981,100000,100000000,3.5001942451548445
0.00050118,100000,100000000,3.4991198075056285
0.00063095,100000,100000000,3.49928412129104
0.00079432,100000,100000000,3.4999508943652433
0.001,100000,100000000,3.5007015129208483
0.0012589,100000,100000000,3.5014123205607515
0.0015848,100000,100000000,3.5000470529607415
0.0019952,100000,100000000,3.500464047706306
0.0025118,100000,100000000,3.5005974458721156
0.0031622,100000,100000000,3.499569217637235
0.003981,100000,100000000,3.4993442965672137
0.0050118,100000,100000000,3.499367704710399
0.0063095,100000,100000000,3.499588272990822
0.0079432,100000,100000000,3.499615155140308
0.01,100000,100000000,3.500153850211169
0.012589,100000,100000000,3.499877855513605
0.015848,100000,100000000,3.500798207655871
0.019952,100000,100000000,3.4999629334849405
0.025118,100000,100000000,3.499483792340103
0.031622,100000,100000000,3.4996070611554186
0.03981,100000,100000000,3.5003805754199706
0.050118,100000,100000000,3.5005234119234307
0.063095,100000,100000000,3.4998591771126004
0.079432,100000,100000000,3.4999808988942607
0.1,100000,100000000,3.49911590396648
0.12589,100000,100000000,3.4998549484361123
0.15848,100000,100000000,3.499319700506231
0.19952,100000,100000000,3.499129900725217
0.25118,100000,100000000,3.496433000302945
0.31622,100000,100000000,3.472666623536924
0.3981,100000,100000000,3.348141139651027
0.50118,100000,100000000,2.9252398618431115
0.63095,100000,100000000,2.0354051259763404
0.79432,100000,100000000,0.9918492575493406
