"","index","side","temp","corr12","corr23","corr13","corr_length_least_squares"
"50",49,40,0.0063095,4.28158492464331,3.13906835391533,5.21865863030669,2.75072087940944
"51",50,40,0.0079432,7.65806453188529,3.10811615165032,7.24493549656232,1.83238810376347
"52",51,40,0.01,NA,3.44152542377723,8.79755560244738,0.819625524772928
"53",52,40,0.012589,7.14694251106377,2.45321285940009,NA,1.1245681636709
"54",53,40,0.015848,NA,2.98554934272323,6.90911612586368,0.951700888731145
"55",54,40,0.019952,NA,3.99344466056398,NA,1.21851219500019
"56",55,40,0.025118,22.2282105853785,NA,NA,2.8181837275346
"57",56,40,0.031622,24.6437886923963,NA,NA,2.63437497140098
"58",57,40,0.03981,NA,5.08286942954229,NA,2.82240761064285
"59",58,40,0.050118,11.4984834546721,6.97322285068148,NA,1.36679166497885
"60",59,40,0.063095,11.5422226506063,NA,NA,45.5227093437815
"61",60,40,0.079432,NA,6.2854789389162,17.2141007725402,2.06197758361365
"62",61,40,0.1,14.3473818864456,4.62766324359251,10.7862651188996,2.91582128815888
"63",62,40,0.12589,23.7764381768303,9.51437740143569,29.499895315762,2.2008832795457
"64",63,40,0.15848,NA,4.08412093783344,13.7354657533764,0.984376847093329
"65",64,40,0.19952,11.8704207464438,NA,34.2175543132577,27.5287087931365
"66",65,40,0.25118,NA,7.78687217345354,NA,0.873289807849515
"67",66,40,0.31622,NA,NA,NA,1.03335321281855
"68",67,40,0.3981,NA,1.83324085647641,NA,1.43647497236985
"69",68,40,0.50118,NA,1.65650499932399,3.90028869037798,1.97588985360109
"70",69,40,0.63095,3.53014240022097,NA,4.1848763384967,1.04082109751238
"71",70,40,0.79432,3.55740546138041,2.3572923316815,1.96988090807845,3029.6718552533
"72",71,40,1,3.75298197757151,2.60154123775575,1.26260309430992,0.606981779684879
"73",72,40,1.2589,4.64293437170935,3.06532123700903,56.8396943897451,1.98438970172269
"74",73,40,1.5848,4.11706398061269,NA,3.13839795364963,0.81544070562486
"75",74,40,1.9952,6.89314601696623,2.35091341037795,3.00821665324644,2.10909077911111
"76",75,40,2.5118,5.10203106224006,2.06247932930207,4.08212459567958,0.666439510426318
"77",76,40,3.1622,5.69686978715732,2.66945660064271,NA,2.88822462491632
"78",77,40,3.981,6.07221855057038,2.3406422635425,16.0409876491885,31.4494406573884
"79",78,40,5.0118,4.76055293700271,2.53140432086178,NA,1.0464397028087
"80",79,40,6.3095,3.69972396965447,2.29125331363982,2.15692448726942,2.35238615654101
"81",80,40,7.9432,5.00545498013518,2.51591048331206,3.02209001960192,1.34982401624515
"82",81,40,10,3.76765783602929,3.30550030985827,3.14589665088308,0.872347790188972
