index,temp,size,bin_size,string_tension,gamma,offset
6085,0.27,16,4,4.2804992016314145,0.0,675.5237692473287
6085,0.27,16,8,4.280657799100968,0.0,675.5201193436135
6085,0.27,16,16,4.280383127067999,0.0,675.5255474107089
6085,0.27,16,32,4.281636078756886,0.0,675.5130207408947
6089,0.28,16,1,4.483212493336392,0.0,673.7333428783315
6089,0.28,16,2,4.483943720301003,0.0,673.7285918195369
6089,0.28,16,4,4.482448201746294,0.0,673.7441134855525
6089,0.28,16,8,4.482977807157624,0.0,673.7380931823584
6089,0.28,16,16,4.482142686006391,0.0,673.746483763442
6089,0.28,16,32,4.482155091624524,0.0,673.736296146082
6093,0.29,16,1,4.754798512824518,0.0,670.9687353740808
6093,0.29,16,2,4.755757864243428,0.0,670.96009752967
6093,0.29,16,4,4.754428075640487,0.0,670.9772144758515
6093,0.29,16,8,4.755197481057525,0.0,670.9652246400863
6093,0.29,16,16,4.754180576100062,0.0,670.9732522948354
6093,0.29,16,32,4.756051140653721,0.0,670.9513165733495
6097,0.2,24,1,4.666969580322487,0.0,2298.58778365137
6097,0.2,24,2,4.667158251953332,0.0,2298.596229858402
6097,0.2,24,4,4.6673392072755675,0.0,2298.5860090253937
6097,0.2,24,8,4.66741187963887,0.0,2298.587510889652
6097,0.2,24,16,4.666004592285333,0.0,2298.615153764652
6097,0.2,24,32,4.66531909570331,0.0,2298.616441747073
6101,0.21,24,1,4.879865922729728,0.0,2298.5342553581577
6101,0.21,24,2,4.880292944861026,0.0,2298.5333343594757
6101,0.21,24,4,4.8809262125246065,0.0,2298.5291766650425
6101,0.21,24,8,4.880389765320011,0.0,2298.5307616010778
6101,0.21,24,16,4.881145710461588,0.0,2298.5158404643103
6101,0.21,24,32,4.879625547583231,0.0,2298.54839586094
6105,0.22,24,1,5.135818700439678,0.0,2297.9635139086945
6105,0.22,24,2,5.137250059863483,0.0,2297.943258362601
6105,0.22,24,4,5.136367146850752,0.0,2297.955145621097
6105,0.22,24,8,5.137144702368353,0.0,2297.946271425882
6105,0.22,24,16,5.13605382919944,0.0,2297.959921593362
6105,0.22,24,32,5.1374079888185875,0.0,2297.941936106741
6109,0.23,24,1,5.354579541223323,0.0,2297.3529327862825
6109,0.23,24,2,5.353624744738973,0.0,2297.3629351819372
6109,0.23,24,4,5.353747155163781,0.0,2297.3639003688504
6109,0.23,24,8,5.353318340490937,0.0,2297.369598552591
6109,0.23,24,16,5.353505080163806,0.0,2297.372551348294
6109,0.23,24,32,5.353933055078329,0.0,2297.358343676663
6113,0.24,24,1,5.650429918652527,0.0,2295.386878167191
6113,0.24,24,2,5.650705614843943,0.0,2295.3846325582062
6113,0.24,24,4,5.64985520126973,0.0,2295.3960790757847
6113,0.24,24,8,5.651290410937662,0.0,2295.370132311331
6113,0.24,24,16,5.650543144336147,0.0,2295.3719772527375
6113,0.24,24,32,5.653306390136898,0.0,2295.338407699222
6117,0.25,24,1,6.003138764648604,0.0,2292.0999190747107
6117,0.25,24,2,6.003760101623762,0.0,2292.0878257983422
6117,0.25,24,4,6.001917797546575,0.0,2292.1176301831083
6117,0.25,24,8,6.002067686767738,0.0,2292.109017985843
6117,0.25,24,16,6.002022134094396,0.0,2292.114263807376
6117,0.25,24,32,6.003446965027059,0.0,2292.1008078063996
6121,0.26,24,1,6.360818228857646,0.0,2287.6267255752955
6121,0.26,24,2,6.3612678187502425,0.0,2287.6201950506866
6121,0.26,24,4,6.35988746313496,0.0,2287.6507628457066
6121,0.26,24,8,6.358983111914263,0.0,2287.651426495706
6121,0.26,24,16,6.358587281591966,0.0,2287.6641575772496
6121,0.26,24,32,6.358906361450359,0.0,2287.659248310062
6125,0.27,24,1,6.723699604541203,0.0,2282.3024621985387
