index,d,size,x,y,t,temp,comptype,burnin,iterations,duration,algorithm_statistic,action_data,energy_data,difference_data,correlation_data
5527,3,46656,36,36,36,0.25,1 10x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5529,3,46656,36,36,36,0.25,1 11x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5533,3,46656,36,36,36,0.25,1 13x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5535,3,46656,36,36,36,0.25,1 14x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5537,3,46656,36,36,36,0.25,1 15x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5539,3,46656,36,36,36,0.25,1 16x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5541,3,46656,36,36,36,0.25,1 17x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5545,3,46656,36,36,36,0.25,1 19x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5547,3,46656,36,36,36,0.25,1 20x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5549,3,46656,36,36,36,0.25,1 21x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5551,3,46656,36,36,36,0.25,1 22x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5553,3,46656,36,36,36,0.25,1 23x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5555,3,46656,36,36,36,0.25,1 24x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5557,3,46656,36,36,36,0.25,1 25x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5559,3,46656,36,36,36,0.25,1 26x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5561,3,46656,36,36,36,0.25,1 27x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5563,3,46656,36,36,36,0.25,1 28x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5565,3,46656,36,36,36,0.25,1 29x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5567,3,46656,36,36,36,0.25,2 30x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5569,3,46656,36,36,36,0.25,1 31x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5571,3,46656,36,36,36,0.25,1 32x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5573,3,46656,36,36,36,0.25,1 33x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5575,3,46656,36,36,36,0.25,1 34x36 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5577,3,157464,54,54,54,0.25,1 1x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5578,3,157464,54,54,54,0.25,1 3x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5579,3,157464,54,54,54,0.25,1 5x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5580,3,157464,54,54,54,0.25,1 7x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5581,3,157464,54,54,54,0.25,2 9x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5582,3,157464,54,54,54,0.25,1 11x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5583,3,157464,54,54,54,0.25,1 13x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5584,3,157464,54,54,54,0.25,1 15x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5585,3,157464,54,54,54,0.25,1 17x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5586,3,157464,54,54,54,0.25,1 19x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5587,3,157464,54,54,54,0.25,1 21x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5588,3,157464,54,54,54,0.25,1 23x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5589,3,157464,54,54,54,0.25,1 25x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5590,3,157464,54,54,54,0.25,2 27x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5591,3,157464,54,54,54,0.25,1 29x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5592,3,157464,54,54,54,0.25,1 31x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5593,3,157464,54,54,54,0.25,1 33x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5594,3,157464,54,54,54,0.25,1 35x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5595,3,157464,54,54,54,0.25,1 37x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5596,3,157464,54,54,54,0.25,1 39x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5597,3,157464,54,54,54,0.25,1 41x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5598,3,157464,54,54,54,0.25,1 43x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5599,3,157464,54,54,54,0.25,2 45x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5600,3,157464,54,54,54,0.25,1 47x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5601,3,157464,54,54,54,0.25,1 49x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5602,3,157464,54,54,54,0.25,1 51x54 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
5603,3,157464,54,54,54,0.25,2 Metropolis Simulations,1000,409600,2134,,false,true,false,false
6057,3,4096,16,16,16,0.2,1 2x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6059,3,4096,16,16,16,0.2,1 13x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6061,3,4096,16,16,16,0.21,1 2x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6063,3,4096,16,16,16,0.21,1 13x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6065,3,4096,16,16,16,0.22,1 2x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6067,3,4096,16,16,16,0.22,1 13x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6069,3,4096,16,16,16,0.23,1 2x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6071,3,4096,16,16,16,0.23,1 13x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6073,3,4096,16,16,16,0.24,1 2x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6075,3,4096,16,16,16,0.24,1 13x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6081,3,4096,16,16,16,0.26,1 2x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6083,3,4096,16,16,16,0.26,1 13x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6085,3,4096,16,16,16,0.27,1 2x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6087,3,4096,16,16,16,0.27,1 13x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6089,3,4096,16,16,16,0.28,1 2x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6091,3,4096,16,16,16,0.28,1 13x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6093,3,4096,16,16,16,0.29,1 2x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6095,3,4096,16,16,16,0.29,1 13x16 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6097,3,13824,24,24,24,0.2,1 4x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6098,3,13824,24,24,24,0.2,1 12x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6099,3,13824,24,24,24,0.2,1 20x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6100,3,13824,24,24,24,0.2,1 Metropolis Simulations,1000,409600,227,,false,true,false,false
6101,3,13824,24,24,24,0.21,1 4x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6102,3,13824,24,24,24,0.21,1 12x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6103,3,13824,24,24,24,0.21,1 20x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6104,3,13824,24,24,24,0.21,1 Metropolis Simulations,1000,409600,226,,false,true,false,false
6105,3,13824,24,24,24,0.22,1 4x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6106,3,13824,24,24,24,0.22,1 12x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6107,3,13824,24,24,24,0.22,1 20x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6108,3,13824,24,24,24,0.22,1 Metropolis Simulations,1000,409600,225,,false,true,false,false
6109,3,13824,24,24,24,0.23,1 4x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6110,3,13824,24,24,24,0.23,1 12x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6111,3,13824,24,24,24,0.23,1 20x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6112,3,13824,24,24,24,0.23,1 Metropolis Simulations,1000,409600,224,,false,true,false,false
6113,3,13824,24,24,24,0.24,1 4x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6114,3,13824,24,24,24,0.24,1 12x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6115,3,13824,24,24,24,0.24,1 20x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6116,3,13824,24,24,24,0.24,1 Metropolis Simulations,1000,409600,211,,false,true,false,false
6117,3,13824,24,24,24,0.25,1 4x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6118,3,13824,24,24,24,0.25,1 12x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6119,3,13824,24,24,24,0.25,1 20x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6120,3,13824,24,24,24,0.25,1 Metropolis Simulations,1000,409600,225,,false,true,false,false
6121,3,13824,24,24,24,0.26,1 4x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6122,3,13824,24,24,24,0.26,1 12x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6123,3,13824,24,24,24,0.26,1 20x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6124,3,13824,24,24,24,0.26,1 Metropolis Simulations,1000,409600,222,,false,true,false,false
6125,3,13824,24,24,24,0.27,1 4x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6126,3,13824,24,24,24,0.27,1 12x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6127,3,13824,24,24,24,0.27,1 20x24 Wilson Metropolis Simulations,1000,409600,,,false,true,false,false
6128,3,13824,24,24,24,0.27,1 Metropolis Simulations,1000,409600,209,,false,true,false,false
