index,m,n,a,b,corr
137,0.11455299653713844,16.0,18786.180369694754,-18841.34172251534,8.729583950043567
138,-0.000028182878591930887,16.0,363345270526.92566,-363345270492.15845,-35482.53585019923
139,-0.000029009614178891457,16.0,302904893337.063,-302904893294.82996,-34471.3305676309
140,0.015204522042988942,16.0,1130393.4790248363,-1130439.9428165602,65.76990695088088
141,0.1115192279157411,16.0,17740.375653215568,-17793.711278832005,8.967063516217623
142,0.10248883626377413,16.0,21455.968163701735,-21461.086781757353,9.757160257204147
143,0.04481294829880568,16.0,114462.74112661422,-114445.74256432528,22.314978995181427
144,0.12898578737835206,16.0,12574.15204279905,-12540.544945112304,7.752792151174882
145,-0.00002131275855737074,16.0,530298918781.06805,-530298918671.17224,-46920.251890816966
146,0.11114391608518888,16.0,16974.285241773312,-16931.749344042648,8.997343581393393
147,0.07826194120048251,16.0,31815.891308870807,-31807.513862069423,12.777602812563954
148,0.07307589953034592,16.0,36627.26290697763,-36684.00653048107,13.684402195894068
149,0.2280138549437671,16.0,2734.814963312968,-2728.4526093409804,4.385698405242175
150,0.21390646566803356,16.0,2938.3432777280645,-2898.798032778603,4.674940502041315
151,0.22954919925573394,16.0,2453.6736273205597,-2484.52043039592,4.356364575621672
152,0.21985033516514144,16.0,2816.8045890115463,-2840.9595718354094,4.5485488991811005
153,1.264938390734052e-6,16.0,185515979414636.56,-185515979414667.12,790552.3362443711
154,1.8144840805105548e-6,16.0,89889913271189.11,-89889913271173.42,551120.8451708336
155,0.10602475875170425,16.0,23589.835031897168,-23519.61706742602,9.43175925862624
156,0.09442344781016848,16.0,28992.240404799606,-28972.961823371937,10.590589765483122
157,0.12646802547484887,16.0,14501.738575507128,-14599.740442640697,7.907136971936621
158,0.10587676078450704,16.0,19722.547322969785,-19640.020840200006,9.44494327735733
159,0.00007780810091155686,16.0,40480259595.82137,-40480259624.68814,12852.13221097226
160,0.1768786346387765,16.0,6070.764935213714,-6094.657562570089,5.653594070545665
161,0.1705237564898875,16.0,6519.193753169292,-6625.82551107249,5.864285543459176
162,0.10135997255526562,16.0,20436.295944514663,-20425.72880160809,9.86582745427204
163,0.019890667887984187,16.0,542696.9214439048,-542750.1402090268,50.274832681917786
164,0.18982037919104494,16.0,4505.421146497273,-4574.837420073809,5.268138248704839
165,0.16356139311763593,16.0,6071.215863715603,-5983.6948949094985,6.113912219375536
